Personeelsnummer,Personeelsnaam,Email-adres,Bedrijfsnaam,Afdeling,Vertrek-Luchthaven,Land-van-oorsprong,Aankomst-Luchthaven,Land-van-aankomst,Methode-van-vervoer,Reason-for-travel,Vertrekdatum,Aankomst-datum
1579281,Michael-Hughes,michael.hughes@INFRAGoIreland.com,INFRAGoIreland,Marketing,Heathrow,UK,Frankfurt-Airport,Germany,Flight,Business,2025-05-20,2025-05-22
1758391,Debbie-Jones,debbie.jones@INFRAGoEngland.com,INFRAGoEngland,IT,Changi-Airport,Singapore,Schiphol,Netherlands,Flight,Leisure,2025-06-01,2025-06-03
1827391,Samuel-Davis,samuel.davis@INFRAGoIreland.com,INFRAGoIreland,HR,Schiphol,Netherlands,Los-Angeles-International,USA,Flight,Conference,2025-05-07,2025-05-09
1468725,Karen-Brown,karen.brown@INFRAGoEngland.com,INFRAGoEngland,Marketing,Frankfurt-Airport,Germany,Tokyo-Narita,Japan,Flight,Leisure,2025-05-12,2025-05-15
1674392,George-Jackson,george.jackson@INFRAGoIreland.com,INFRAGoIreland,Operations,Dubai-International,UAE,Schiphol,Netherlands,Flight,Training,2025-07-08,2025-07-10
1567283,Patricia-Smith,patricia.smith@INFRAGoEngland.com,INFRAGoEngland,HR,Los-Angeles-International,USA,Charles-de-Gaulle,France,Flight,Business,2025-06-01,2025-06-03
1648392,John-White,john.white@INFRAGoEngland.com,INFRAGoEngland,Marketing,Charles-de-Gaulle,France,Tokyo-Narita,Japan,Flight,Business,2025-07-05,2025-07-07
1536298,Alice-Doe,alice.doe@INFRAGoIreland.com,INFRAGoIreland,IT,Schiphol,Netherlands,JFK,USA,Flight,Leisure,2025-05-20,2025-05-22
1685427,George-Martin,george.martin@INFRAGoEngland.com,INFRAGoEngland,HR,Changi-Airport,Singapore,Dubai-International,UAE,Flight,Conference,2025-06-25,2025-06-28
1796284,Sophia-White,sophia.white@INFRAGoIreland.com,INFRAGoIreland,Finance,Los-Angeles-International,USA,Heathrow,UK,Flight,Training,2025-04-15,2025-04-17
1589261,Oliver-Brown,oliver.brown@INFRAGoEngland.com,INFRAGoEngland,Operations,JFK,USA,Changi-Airport,Singapore,Flight,Business,2025-07-10,2025-07-12
1457289,Emma-Smith,emma.smith@INFRAGoIreland.com,INFRAGoIreland,HR,Heathrow,UK,Los-Angeles-International,USA,Flight,Leisure,2025-06-12,2025-06-14
1705623,Lucas-Morris,lucas.morris@INFRAGoEngland.com,INFRAGoEngland,IT,Schiphol,Netherlands,Dubai-International,UAE,Flight,Conference,2025-05-07,2025-05-09
1698237,Claire-Jones,claire.jones@INFRAGoIreland.com,INFRAGoIreland,Marketing,Charles-de-Gaulle,France,JFK,USA,Flight,Training,2025-05-25,2025-05-27
1572839,Samuel-Wilson,samuel.wilson@INFRAGoEngland.com,INFRAGoEngland,Operations,Changi-Airport,Singapore,Heathrow,UK,Flight,Leisure,2025-06-18,2025-06-20
1768274,Lucy-Morris,lucy.morris@INFRAGoIreland.com,INFRAGoIreland,HR,Frankfurt-Airport,Germany,Tokyo-Narita,Japan,Flight,Business,2025-07-15,2025-07-17
1453729,Michael-Jones,michael.jones@INFRAGoEngland.com,INFRAGoEngland,Marketing,Schiphol,Netherlands,Dubai-International,UAE,Flight,Training,2025-06-22,2025-06-24
1675429,Hannah-Smith,hannah.smith@INFRAGoIreland.com,INFRAGoIreland,IT,Heathrow,UK,Changi-Airport,Singapore,Flight,Leisure,2025-05-20,2025-05-22
1758284,Alex-Green,alex.green@INFRAGoEngland.com,INFRAGoEngland,HR,Los-Angeles-International,USA,Schiphol,Netherlands,Flight,Conference,2025-06-05,2025-06-07
